"congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
114,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,,0.549,0.13,-109.63029,0.76537,410,46,,0.635,0.2
114,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,,0.429,0.519,-103.72803,0.77307,403,44,,0.587,0.561
114,"Senate",40300,81,0,"AK",200,0,1,"MURKOWSKI, Lisa","M001153",1957,,0.211,-0.291,-133.57052,0.72367,413,65,,0.299,-0.253
114,"Senate",41500,81,0,"AK",200,0,1,"SULLIVAN, Daniel Scott","S001198",1964,,0.485,0.038,-101.75435,0.78116,412,35,,0.46,0.144
114,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-118.10444,0.74972,410,59,,0.464,-0.312
114,"Senate",20100,61,0,"AZ",200,0,1,"FLAKE, Jeff","F000444",1962,,0.855,-0.518,-151.07924,0.6899,407,70,,0.686,-0.728
114,"Senate",20101,42,0,"AR",200,0,1,"BOOZMAN, John","B001236",1950,,0.4,0.246,-70.40627,0.84499,418,21,,0.469,0.309
114,"Senate",21301,42,0,"AR",200,0,1,"COTTON, Tom","C001095",1977,,0.571,0.086,-65.69734,0.85194,410,28,,0.611,0.091
114,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,,-0.45,-0.423,-46.4471,0.881,368,22,,-0.485,-0.466
114,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,,-0.267,-0.184,-55.66785,0.87217,407,30,,-0.244,-0.171
114,"Senate",21112,62,0,"CO",200,0,1,"GARDNER, Cory","G000562",1974,,0.444,-0.029,-108.91126,0.76869,414,46,,0.405,-0.059
114,"Senate",40910,62,0,"CO",100,0,1,"BENNET, Michael F.","B001267",1964,,-0.224,-0.177,-77.12287,0.83225,420,35,,-0.175,-0.137
114,"Senate",20707,1,0,"CT",100,0,1,"MURPHY, Christopher","M001169",1973,,-0.271,-0.197,-49.85815,0.88756,418,14,,-0.376,-0.15
114,"Senate",41101,1,0,"CT",100,0,1,"BLUMENTHAL, Richard","B001277",1946,,-0.434,-0.163,-48.41049,0.89064,418,17,,-0.337,-0.162
114,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,,-0.175,-0.222,-90.73956,0.80103,409,37,,-0.187,-0.192
114,"Senate",40916,11,0,"DE",100,0,1,"COONS, Christopher A.","C001088",1963,,-0.227,-0.219,-49.54611,0.88431,403,21,,-0.293,-0.442
114,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,,-0.193,0.337,-95.8616,0.78403,394,40,,-0.299,0.102
114,"Senate",41102,43,0,"FL",200,0,1,"RUBIO, Marco","R000595",1971,,0.568,-0.271,-86.21234,0.74879,298,32,,0.617,-0.209
114,"Senate",29909,44,0,"GA",200,0,1,"ISAKSON, Johnny","I000055",1944,,0.402,-0.011,-75.40421,0.83494,418,27,,0.416,0.071
114,"Senate",41501,44,0,"GA",200,0,1,"PERDUE, David Alfred, Jr.","P000612",1949,,0.562,-0.078,-102.90356,0.78039,415,46,,0.68,-0.379
114,"Senate",20713,82,0,"HI",100,0,1,"HIRONO, Mazie","H001042",1947,,-0.512,-0.084,-37.09268,0.91528,419,11,,-0.453,-0.308
114,"Senate",41112,82,0,"HI",100,0,1,"SCHATZ, Brian Emanuel","S001194",1972,,-0.448,-0.106,-43.49562,0.90095,417,18,,-0.424,-0.098
114,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,,0.511,0.294,-76.52002,0.8305,412,37,,0.57,0.715
114,"Senate",40902,63,0,"ID",200,0,1,"RISCH, James","R000584",1943,,0.628,0.565,-62.0384,0.86238,419,31,,0.589,0.709
114,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,,-0.348,-0.308,-39.38694,0.90862,411,17,,-0.416,-0.306
114,"Senate",20115,21,0,"IL",200,0,1,"KIRK, Mark Steven","K000360",1959,,0.274,-0.647,-139.86855,0.706,402,65,,0.268,-0.606
114,"Senate",14806,22,0,"IN",200,0,1,"COATS, Daniel Ray","C000542",1943,,0.375,-0.227,-111.40278,0.763,411,44,,0.537,-0.275
114,"Senate",20717,22,0,"IN",100,0,1,"DONNELLY, Joe","D000607",1955,,-0.119,0.435,-114.03275,0.76024,416,46,,-0.11,0.41
114,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,,0.346,-0.065,-111.40067,0.76702,420,46,,0.461,0.058
